PassengerId,Name,Pclass,Survived,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,"Braund, Mr. Owen Harris",3,0,male,22,1,0,A/5 21171,7.25,,S
2,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",1,1,female,38,1,0,PC 17599,71.2833,C85,C
3,"Heikkinen, Miss. Laina",3,1,female,26,0,0,STON/O2. 3101282,7.925,,S
4,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",1,1,female,35,1,0,113803,53.1,C123,S
5,"Allen, Mr. William Henry",3,0,male,35,0,0,373450,8.05,,S
6,"Moran, Mr. James",3,0,male,,0,0,330877,8.4583,,Q
7,"McCarthy, Mr. Timothy J",1,0,male,54,0,0,17463,51.8625,E46,S
8,"Palsson, Master. Gosta Leonard",3,0,male,2,3,1,349909,21.075,,S
9,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",3,1,female,27,0,2,347742,11.1333,,S
10,"Nasser, Mrs. Nicholas (Adele Achem)",2,1,female,14,1,0,237736,30.0708,,C
11,"Sandstrom, Miss. Marguerite Rut",3,1,female,4,1,1,PP 9549,16.7,G6,S
12,"Bonnell, Miss. Elizabeth",1,1,female,58,0,0,113783,26.55,C103,S
13,"Saundercock, Mr. William Henry",3,0,male,20,0,0,A/5. 2151,8.05,,S
14,"Andersson, Mr. Anders Johan",3,0,male,39,1,5,347082,31.275,,S
15,"Vestrom, Miss. Hulda Amanda Adolfina",3,0,female,14,0,0,350406,7.8542,,S
16,"Hewlett, Mrs. (Mary D Kingcome) ",2,1,female,55,0,0,248706,16,,S
17,"Rice, Master. Eugene",3,0,male,2,4,1,382652,29.125,,Q
18,"Williams, Mr. Charles Eugene",2,1,male,,0,0,244373,13,,S
19,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",3,0,female,31,1,0,345763,18,,S
20,"Masselmani, Mrs. Fatima",3,1,female,,0,0,2649,7.225,,C
21,"Fynney, Mr. Joseph J",2,0,male,35,0,0,239865,26,,S
22,"Beesley, Mr. Lawrence",2,1,male,34,0,0,248698,13,D56,S
23,"McGowan, Miss. Anna ""Annie""",3,1,female,15,0,0,330923,8.0292,,Q
24,"Sloper, Mr. William Thompson",1,1,male,28,0,0,113788,35.5,A6,S
25,"Palsson, Miss. Torborg Danira",3,0,female,8,3,1,349909,21.075,,S
26,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",3,1,female,38,1,5,347077,31.3875,,S
27,"Emir, Mr. Farred Chehab",3,0,male,,0,0,2631,7.225,,C
28,"Fortune, Mr. Charles Alexander",1,0,male,19,3,2,19950,263,C23 C25 C27,S
29,"O'Dwyer, Miss. Ellen ""Nellie""",3,1,female,,0,0,330959,7.8792,,Q
30,"Todoroff, Mr. Lalio",3,0,male,,0,0,349216,7.8958,,S
31,"Uruchurtu, Don. Manuel E",1,0,male,40,0,0,PC 17601,27.7208,,C
32,"Spencer, Mrs. William Augustus (Marie Eugenie)",1,1,female,,1,0,PC 17569,146.5208,B78,C
33,"Glynn, Miss. Mary Agatha",3,1,female,,0,0,335677,7.75,,Q
34,"Wheadon, Mr. Edward H",2,0,male,66,0,0,C.A. 24579,10.5,,S
